species_english_name,on_haida_gwaii,cosewic_status,provincial_status,species_order,species_family
Downy Woodpecker,Yes,0,S5,Piciformes,Picidae
Dunlin,Yes,0,S4N,Charadriiformes,Scolopacidae
Dusky Grouse,Yes,0,S4,Galliformes,Phasianidae
Eastern Kingbird,Yes,0,S5B,Passeriformes,Tyrannidae
Eastern Yellow Wagtail,Rare/Accidental,0,SNA,Passeriformes,Motacillidae
Emperor Goose,Rare/Accidental,0,SNA,Anseriformes,Anatidae
Eurasian Collared-Dove,Introduced species,0,SNA,Columbiformes,Columbidae
Eurasian Dotterel,Rare/Accidental,,,Charadriiformes,Charadriidae
Eurasian Skylark,Rare/Accidental,0,SNA,Passeriformes,Alaudidae
Eurasian Wigeon,Yes,0,SNRN,Anseriformes,Anatidae
European Starling,Yes,0,SNA,Passeriformes,Sturnidae
Evening Grosbeak,Yes,Special Concern,S5,Passeriformes,Fringillidae
Flesh-footed Shearwater,Rare/Accidental,0,S3N,Procellariiformes,Procellariidae
Fork-tailed Storm-Petrel,Yes,0,S4B,Procellariiformes,Hydrobatidae
Fox Sparrow,Yes,0,S5,Passeriformes,Passerellidae
Franklin's Gull,Yes,0,SUN,Charadriiformes,Laridae
Gadwall,Yes,0,S5,Anseriformes,Anatidae
Glaucous Gull,Yes,0,SNRM,Charadriiformes,Laridae
Glaucous-winged Gull,Yes,0,S4,Charadriiformes,Laridae
Golden Eagle,Yes,Not at Risk,S4S5,Accipitriformes,Accipitridae
Golden-crowned Kinglet,Yes,0,S5,Passeriformes,Regulidae
Golden-crowned Sparrow,Yes,0,S5?B,Passeriformes,Passerellidae
Grasshopper Sparrow,Yes,0,S1B,Passeriformes,Passerellidae
Gray-crowned Rosy-Finch,Yes,,,Passeriformes,Fringillidae
Great Blue Heron,Yes,0,S3,Pelecaniformes,Ardeidae
Great Horned Owl,Yes,0,S5,Strigiformes,Strigidae
Great-tailed Grackle,Rare/Accidental,0,SNA,Passeriformes,Icteridae
Greater Scaup,Yes,0,S4N,Anseriformes,Anatidae
Greater White-fronted Goose,Yes,0,S4M,Anseriformes,Anatidae
Greater Yellowlegs,Yes,0,"S5B, SUN",Charadriiformes,Scolopacidae
Green Heron,Yes,0,S3S4B,Pelecaniformes,Ardeidae
Green-winged Teal,Yes,0,"S5B,S5N",Anseriformes,Anatidae
Gyrfalcon,Yes,Not at Risk,"S3S4B, SNRN",Falconiformes,Falconidae
Hairy Woodpecker,Yes,0,S5,Piciformes,Picidae
Hammond's Flycatcher,Yes,0,S5B,Passeriformes,Tyrannidae
Harlequin Duck,Yes,0,"S4B,S3N",Anseriformes,Anatidae
Harris's Sparrow,Yes,Special Concern,SUM,Passeriformes,Passerellidae
Hermit Thrush,Yes,0,S5B,Passeriformes,Turdidae
